Learning Rate:0.01, Batch Size:100
########  7.649166666666667Hrs 0Mins 0Secs remaining  ########
Epoch:54.0% Of 1/5, Loss:[0.07531363], Batch Acc:75.0%, Epoch Acc:47.0%
########  7.588888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:54.5% Of 1/5, Loss:[0.0904409], Batch Acc:75.0%, Epoch Acc:47.0%
########  7.539722222222222Hrs 0Mins 0Secs remaining  ########
Epoch:55.0% Of 1/5, Loss:[0.11145956], Batch Acc:68.0%, Epoch Acc:47.0%
########  7.584444444444444Hrs 0Mins 0Secs remaining  ########
Epoch:55.5% Of 1/5, Loss:[0.08290722], Batch Acc:75.0%, Epoch Acc:47.0%
########  7.557777777777778Hrs 0Mins 0Secs remaining  ########
Epoch:56.0% Of 1/5, Loss:[0.07825753], Batch Acc:75.0%, Epoch Acc:48.0%
########  7.711111111111111Hrs 0Mins 0Secs remaining  ########
Epoch:56.5% Of 1/5, Loss:[0.09179566], Batch Acc:76.0%, Epoch Acc:48.0%
########  7.526666666666666Hrs 0Mins 0Secs remaining  ########
Epoch:57.0% Of 1/5, Loss:[0.10559397], Batch Acc:64.0%, Epoch Acc:48.0%
########  7.558888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:57.5% Of 1/5, Loss:[0.07587143], Batch Acc:78.0%, Epoch Acc:48.0%
########  7.562222222222222Hrs 0Mins 0Secs remaining  ########
Epoch:58.0% Of 1/5, Loss:[0.09151512], Batch Acc:73.0%, Epoch Acc:49.0%
########  7.508055555555556Hrs 0Mins 0Secs remaining  ########
Epoch:58.5% Of 1/5, Loss:[0.10088448], Batch Acc:65.0%, Epoch Acc:49.0%
########  7.554166666666666Hrs 0Mins 0Secs remaining  ########
Epoch:59.0% Of 1/5, Loss:[0.08498099], Batch Acc:72.0%, Epoch Acc:49.0%
########  7.479166666666667Hrs 0Mins 0Secs remaining  ########
Epoch:59.5% Of 1/5, Loss:[0.07474651], Batch Acc:79.0%, Epoch Acc:49.0%
########  7.503333333333333Hrs 0Mins 0Secs remaining  ########
Epoch:60.0% Of 1/5, Loss:[0.08254374], Batch Acc:74.0%, Epoch Acc:49.0%
########  7.467222222222222Hrs 0Mins 0Secs remaining  ########
Epoch:60.5% Of 1/5, Loss:[0.08928915], Batch Acc:72.0%, Epoch Acc:50.0%
########  7.508055555555556Hrs 0Mins 0Secs remaining  ########
Epoch:61.0% Of 1/5, Loss:[0.0974008], Batch Acc:68.0%, Epoch Acc:50.0%
########  7.448611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:61.5% Of 1/5, Loss:[0.09544585], Batch Acc:68.0%, Epoch Acc:50.0%
########  7.478611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:62.0% Of 1/5, Loss:[0.10026991], Batch Acc:73.0%, Epoch Acc:50.0%
########  7.447222222222222Hrs 0Mins 0Secs remaining  ########
Epoch:62.5% Of 1/5, Loss:[0.06318056], Batch Acc:79.0%, Epoch Acc:50.0%
########  7.389166666666667Hrs 0Mins 0Secs remaining  ########
Epoch:63.0% Of 1/5, Loss:[0.08453092], Batch Acc:73.0%, Epoch Acc:50.0%
########  7.445555555555556Hrs 0Mins 0Secs remaining  ########
Epoch:63.5% Of 1/5, Loss:[0.07079134], Batch Acc:83.0%, Epoch Acc:51.0%
########  7.477222222222222Hrs 0Mins 0Secs remaining  ########
Epoch:64.0% Of 1/5, Loss:[0.08447312], Batch Acc:77.0%, Epoch Acc:51.0%
########  7.408611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:64.5% Of 1/5, Loss:[0.0754596], Batch Acc:74.0%, Epoch Acc:51.0%
########  7.408333333333333Hrs 0Mins 0Secs remaining  ########
Epoch:65.0% Of 1/5, Loss:[0.08374487], Batch Acc:74.0%, Epoch Acc:51.0%
########  7.394444444444445Hrs 0Mins 0Secs remaining  ########
Epoch:65.5% Of 1/5, Loss:[0.06603529], Batch Acc:78.0%, Epoch Acc:51.0%
########  7.344444444444444Hrs 0Mins 0Secs remaining  ########
Epoch:66.0% Of 1/5, Loss:[0.09122282], Batch Acc:73.0%, Epoch Acc:52.0%
########  7.385833333333333Hrs 0Mins 0Secs remaining  ########
Epoch:66.5% Of 1/5, Loss:[0.07959878], Batch Acc:77.0%, Epoch Acc:52.0%
########  7.358333333333333Hrs 0Mins 0Secs remaining  ########
Epoch:67.0% Of 1/5, Loss:[0.08365106], Batch Acc:76.0%, Epoch Acc:52.0%
########  7.361111111111111Hrs 0Mins 0Secs remaining  ########
Epoch:67.5% Of 1/5, Loss:[0.09089045], Batch Acc:75.0%, Epoch Acc:52.0%
########  7.313888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:68.0% Of 1/5, Loss:[0.05839687], Batch Acc:81.0%, Epoch Acc:52.0%
########  7.330555555555556Hrs 0Mins 0Secs remaining  ########
Epoch:68.5% Of 1/5, Loss:[0.09449713], Batch Acc:72.0%, Epoch Acc:53.0%
########  7.3375Hrs 0Mins 0Secs remaining  ########
Epoch:69.0% Of 1/5, Loss:[0.09414525], Batch Acc:73.0%, Epoch Acc:53.0%
########  7.336111111111111Hrs 0Mins 0Secs remaining  ########
Epoch:69.5% Of 1/5, Loss:[0.06389102], Batch Acc:80.0%, Epoch Acc:53.0%
########  7.324722222222222Hrs 0Mins 0Secs remaining  ########
Epoch:70.0% Of 1/5, Loss:[0.07910781], Batch Acc:72.0%, Epoch Acc:53.0%
########  7.308611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:70.5% Of 1/5, Loss:[0.09739897], Batch Acc:68.0%, Epoch Acc:53.0%
########  7.286666666666667Hrs 0Mins 0Secs remaining  ########
Epoch:71.0% Of 1/5, Loss:[0.0943631], Batch Acc:77.0%, Epoch Acc:53.0%
########  7.280833333333334Hrs 0Mins 0Secs remaining  ########
Epoch:71.5% Of 1/5, Loss:[0.07659298], Batch Acc:74.0%, Epoch Acc:53.0%
########  7.308888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:72.0% Of 1/5, Loss:[0.08014437], Batch Acc:71.0%, Epoch Acc:54.0%
########  7.2475Hrs 0Mins 0Secs remaining  ########
Epoch:72.5% Of 1/5, Loss:[0.10479728], Batch Acc:76.0%, Epoch Acc:54.0%
########  7.224444444444444Hrs 0Mins 0Secs remaining  ########
Epoch:73.0% Of 1/5, Loss:[0.08911988], Batch Acc:75.0%, Epoch Acc:54.0%
########  7.2175Hrs 0Mins 0Secs remaining  ########
Epoch:73.5% Of 1/5, Loss:[0.07070702], Batch Acc:79.0%, Epoch Acc:54.0%
########  7.2219444444444445Hrs 0Mins 0Secs remaining  ########
Epoch:74.0% Of 1/5, Loss:[0.07330246], Batch Acc:75.0%, Epoch Acc:54.0%
########  7.2091666666666665Hrs 0Mins 0Secs remaining  ########
Epoch:74.5% Of 1/5, Loss:[0.0741947], Batch Acc:77.0%, Epoch Acc:54.0%
########  7.226388888888889Hrs 0Mins 0Secs remaining  ########
Epoch:75.0% Of 1/5, Loss:[0.08393404], Batch Acc:78.0%, Epoch Acc:55.00000000000001%
########  7.243888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:75.5% Of 1/5, Loss:[0.05401836], Batch Acc:84.0%, Epoch Acc:55.00000000000001%
########  7.187222222222222Hrs 0Mins 0Secs remaining  ########
Epoch:76.0% Of 1/5, Loss:[0.0719406], Batch Acc:83.0%, Epoch Acc:55.00000000000001%
########  7.160833333333334Hrs 0Mins 0Secs remaining  ########
Epoch:76.5% Of 1/5, Loss:[0.09607041], Batch Acc:74.0%, Epoch Acc:55.00000000000001%
########  7.1594444444444445Hrs 0Mins 0Secs remaining  ########
Epoch:77.0% Of 1/5, Loss:[0.07505129], Batch Acc:76.0%, Epoch Acc:55.00000000000001%
########  7.151388888888889Hrs 0Mins 0Secs remaining  ########
Epoch:77.5% Of 1/5, Loss:[0.08620557], Batch Acc:75.0%, Epoch Acc:55.00000000000001%
########  7.168888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:78.0% Of 1/5, Loss:[0.08427491], Batch Acc:77.0%, Epoch Acc:55.00000000000001%
########  7.163611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:78.5% Of 1/5, Loss:[0.0589431], Batch Acc:78.0%, Epoch Acc:56.00000000000001%
########  7.135555555555555Hrs 0Mins 0Secs remaining  ########
Epoch:79.0% Of 1/5, Loss:[0.07411751], Batch Acc:79.0%, Epoch Acc:56.00000000000001%
########  7.1530555555555555Hrs 0Mins 0Secs remaining  ########
Epoch:79.5% Of 1/5, Loss:[0.05016171], Batch Acc:86.0%, Epoch Acc:56.00000000000001%
########  7.2Hrs 0Mins 0Secs remaining  ########
Epoch:80.0% Of 1/5, Loss:[0.05901055], Batch Acc:83.0%, Epoch Acc:56.00000000000001%
########  7.179444444444444Hrs 0Mins 0Secs remaining  ########
Epoch:80.5% Of 1/5, Loss:[0.0716149], Batch Acc:72.0%, Epoch Acc:56.00000000000001%
########  7.135555555555555Hrs 0Mins 0Secs remaining  ########
Epoch:81.0% Of 1/5, Loss:[0.05596742], Batch Acc:80.0%, Epoch Acc:56.00000000000001%
########  7.163611111111111Hrs 0Mins 0Secs remaining  ########
Epoch:81.5% Of 1/5, Loss:[0.04778418], Batch Acc:87.0%, Epoch Acc:56.00000000000001%
########  7.151944444444444Hrs 0Mins 0Secs remaining  ########
Epoch:82.0% Of 1/5, Loss:[0.08201956], Batch Acc:72.0%, Epoch Acc:56.99999999999999%
########  7.094444444444444Hrs 0Mins 0Secs remaining  ########
Epoch:82.5% Of 1/5, Loss:[0.06123989], Batch Acc:83.0%, Epoch Acc:56.99999999999999%
########  7.088888888888889Hrs 0Mins 0Secs remaining  ########
Epoch:83.0% Of 1/5, Loss:[0.05907408], Batch Acc:85.0%, Epoch Acc:56.99999999999999%
########  7.1175Hrs 0Mins 0Secs remaining  ########
Epoch:83.5% Of 1/5, Loss:[0.08430589], Batch Acc:76.0%, Epoch Acc:56.99999999999999%
########  7.079166666666667Hrs 0Mins 0Secs remaining  ########
Epoch:84.0% Of 1/5, Loss:[0.04887], Batch Acc:87.0%, Epoch Acc:56.99999999999999%
########  7.110833333333333Hrs 0Mins 0Secs remaining  ########
